date,event,type,team,location,year,month,day,day_of_week,day_name,is_weekend,start_hour
2021-09-10 19:10:00-04:00,Mets vs New York Yankees (Home),Sports,Mets,Home,2021,9,10,4,Friday,False,19
2021-09-11 19:45:00-04:00,Mets vs New York Yankees (Home),Sports,Mets,Home,2021,9,11,5,Saturday,True,19
2021-09-11 19:45:00-04:00,Yankees vs New York Mets (Away),Sports,Yankees,Away,2021,9,11,5,Saturday,True,19
2021-09-12 20:08:00-04:00,Mets vs New York Yankees (Home),Sports,Mets,Home,2021,9,12,6,Sunday,True,20
2021-09-12 20:08:00-04:00,Yankees vs New York Mets (Away),Sports,Yankees,Away,2021,9,12,6,Sunday,True,20
2021-09-13 14:05:00-04:00,Yankees vs Minnesota Twins (Home),Sports,Yankees,Home,2021,9,13,0,Monday,False,14
2021-09-13 19:10:00-04:00,Mets vs St. Louis Cardinals (Home),Sports,Mets,Home,2021,9,13,0,Monday,False,19
2021-09-14 19:05:00-04:00,Yankees vs Baltimore Orioles (Away),Sports,Yankees,Away,2021,9,14,1,Tuesday,False,19
2021-09-14 19:10:00-04:00,Mets vs St. Louis Cardinals (Home),Sports,Mets,Home,2021,9,14,1,Tuesday,False,19
2021-09-15 19:05:00-04:00,Yankees vs Baltimore Orioles (Away),Sports,Yankees,Away,2021,9,15,2,Wednesday,False,19
2021-09-15 19:10:00-04:00,Mets vs St. Louis Cardinals (Home),Sports,Mets,Home,2021,9,15,2,Wednesday,False,19
2021-09-16 17:05:00-04:00,Yankees vs Baltimore Orioles (Away),Sports,Yankees,Away,2021,9,16,3,Thursday,False,17
2021-09-17 19:05:00-04:00,Yankees vs Cleveland Indians (Home),Sports,Yankees,Home,2021,9,17,4,Friday,False,19
2021-09-17 19:10:00-04:00,Mets vs Philadelphia Phillies (Home),Sports,Mets,Home,2021,9,17,4,Friday,False,19
2021-09-18 13:05:00-04:00,Yankees vs Cleveland Indians (Home),Sports,Yankees,Home,2021,9,18,5,Saturday,True,13
2021-09-18 19:15:00-04:00,Mets vs Philadelphia Phillies (Home),Sports,Mets,Home,2021,9,18,5,Saturday,True,19
2021-09-19 13:05:00-04:00,Yankees vs Cleveland Indians (Home),Sports,Yankees,Home,2021,9,19,6,Sunday,True,13
2021-09-19 19:08:00-04:00,Mets vs Philadelphia Phillies (Home),Sports,Mets,Home,2021,9,19,6,Sunday,True,19
2021-09-20 19:05:00-04:00,Yankees vs Texas Rangers (Home),Sports,Yankees,Home,2021,9,20,0,Monday,False,19
2021-09-21 19:05:00-04:00,Yankees vs Texas Rangers (Home),Sports,Yankees,Home,2021,9,21,1,Tuesday,False,19
2021-09-21 19:10:00-04:00,Mets vs Boston Red Sox (Away),Sports,Mets,Away,2021,9,21,1,Tuesday,False,19
2021-09-22 19:05:00-04:00,Yankees vs Texas Rangers (Home),Sports,Yankees,Home,2021,9,22,2,Wednesday,False,19
2021-09-22 19:10:00-04:00,Mets vs Boston Red Sox (Away),Sports,Mets,Away,2021,9,22,2,Wednesday,False,19
2021-09-24 19:10:00-04:00,Yankees vs Boston Red Sox (Away),Sports,Yankees,Away,2021,9,24,4,Friday,False,19
2021-09-24 20:10:00-04:00,Mets vs Milwaukee Brewers (Away),Sports,Mets,Away,2021,9,24,4,Friday,False,20
2021-09-25 16:10:00-04:00,Yankees vs Boston Red Sox (Away),Sports,Yankees,Away,2021,9,25,5,Saturday,True,16
2021-09-25 19:10:00-04:00,Mets vs Milwaukee Brewers (Away),Sports,Mets,Away,2021,9,25,5,Saturday,True,19
2021-09-26 14:10:00-04:00,Mets vs Milwaukee Brewers (Away),Sports,Mets,Away,2021,9,26,6,Sunday,True,14
2021-09-26 19:08:00-04:00,Yankees vs Boston Red Sox (Away),Sports,Yankees,Away,2021,9,26,6,Sunday,True,19
2021-09-28 16:10:00-04:00,Mets vs Miami Marlins (Home),Sports,Mets,Home,2021,9,28,1,Tuesday,False,16
2021-09-28 16:15:00-04:00,Mets vs Miami Marlins (Home),Sports,Mets,Home,2021,9,28,1,Tuesday,False,16
2021-09-28 19:07:00-04:00,Yankees vs Toronto Blue Jays (Away),Sports,Yankees,Away,2021,9,28,1,Tuesday,False,19
2021-09-29 19:07:00-04:00,Yankees vs Toronto Blue Jays (Away),Sports,Yankees,Away,2021,9,29,2,Wednesday,False,19
